mes_guia,mes_descarga,dia_descarga
1,12,12
1,12,17
1,12,22
1,12,27
1,1,1
1,1,6
2,1,11
2,1,16
2,1,21
2,1,26
2,1,31
2,2,5
3,2,10
3,2,15
3,2,20
3,2,25
3,3,2
3,3,7
4,3,12
4,3,17
4,3,22
4,3,27
4,4,1
4,4,6
5,4,11
5,4,16
5,4,21
5,4,26
5,5,1
5,5,6
6,5,11
6,5,16
6,5,21
6,5,26
6,5,31
6,6,5
7,6,10
7,6,15
7,6,20
7,6,25
7,6,30
7,7,5
8,7,10
8,7,15
8,7,20
8,7,25
8,7,30
8,8,4
9,8,9
9,8,14
9,8,19
9,8,24
9,8,29
9,9,3
10,9,8
10,9,13
10,9,18
10,9,23
10,9,28
10,10,3
11,10,8
11,10,13
11,10,18
11,10,23
11,10,28
11,11,2
11,11,7
12,11,12
12,11,17
12,11,22
12,11,27
12,12,2
12,12,7
